cbsa,effectiveDate,geographicWageIndex,reclassifiedWageIndex,imputedFloorWageIndex,name
45540,20240101,0.7382,0.7382,0.0000,The Villages FL
45780,20240101,0.8338,0.8338,0.0000,Toledo OH
45820,20240101,0.8291,0.8291,0.0000,Topeka KS
45940,20240101,1.0213,1.0213,0.0000,Trenton-Princeton NJ
46060,20240101,0.8464,0.8464,0.0000,Tucson AZ
46140,20240101,0.8125,0.8125,0.0000,Tulsa OK
46220,20240101,0.8229,0.7417,0.0000,Tuscaloosa AL
46300,20240101,0.8844,0.8844,0.0000,Twin Falls ID
46340,20240101,0.8291,0.8291,0.0000,Tyler TX
46520,20240101,1.2874,1.2874,0.0000,Urban Honolulu HI
46540,20240101,0.8675,0.8675,0.0000,Utica-Rome NY
46660,20240101,0.6813,0.6813,0.0000,Valdosta GA
46700,20240101,1.8911,1.8230,0.0000,Vallejo CA
47020,20240101,0.7852,0.7852,0.0000,Victoria TX
47220,20240101,1.0007,1.0007,0.0000,Vineland-Bridgeton NJ
47260,20240101,0.8610,0.8610,0.0000,Virginia Beach-Norfolk-Newport News VA-NC
47300,20240101,0.9201,0.9201,0.0000,Visalia CA
47380,20240101,0.9088,0.9088,0.0000,Waco TX
47460,20240101,1.0235,1.0122,0.0000,Walla Walla WA
47580,20240101,0.7751,0.7613,0.0000,Warner Robins GA
47664,20240101,0.8990,0.8990,0.0000,Warren-Troy-Farmington Hills MI
47894,20240101,1.0003,0.9656,0.0000,Washington-Arlington-Alexandria DC-VA-MD-WV
47940,20240101,0.7930,0.7930,0.0000,Waterloo-Cedar Falls IA
48060,20240101,0.9073,0.9073,0.0000,Watertown-Fort Drum NY
48140,20240101,0.8452,0.8452,0.0000,Wausau-Weston WI
48260,20240101,0.7013,0.7013,0.0000,Weirton-Steubenville WV-OH
48300,20240101,0.9514,0.9514,0.0000,Wenatchee WA
48424,20240101,0.8686,0.8686,0.0000,West Palm Beach-Boca Raton-Boynton Beach FL
48540,20240101,0.6663,0.6663,0.0000,Wheeling WV-OH
48620,20240101,0.7998,0.7998,0.0000,Wichita KS
48660,20240101,0.8828,0.8828,0.0000,Wichita Falls TX
48700,20240101,0.8277,0.8277,0.0000,Williamsport PA
48864,20240101,1.0390,0.9869,0.0000,Wilmington DE-MD-NJ
48900,20240101,0.8554,0.8399,0.0000,Wilmington NC
49020,20240101,0.8499,0.8499,0.0000,Winchester VA-WV
49180,20240101,0.9537,0.9280,0.0000,Winston-Salem NC
49340,20240101,1.0607,1.0231,0.0000,Worcester MA-CT
49420,20240101,0.9169,0.9169,0.0000,Yakima WA
49500,20240101,0.2893,0.2893,0.0000,Yauco PR
49620,20240101,0.9713,0.9428,0.0000,York-Hanover PA
49660,20240101,0.7357,0.7357,0.0000,Youngstown-Warren-Boardman OH-PA
49700,20240101,1.4440,1.4440,0.0000,Yuba City CA
49740,20240101,0.9953,0.9953,0.0000,Yuma AZ
