apc,statusIndicator,effectiveDate,paymentRate,nationalCoinsurance,minimumCoinsurance
07048,K,20240101,000089.16,00017.84,00017.84
07308,K,20240101,000390.56,00078.12,00078.12
08004,S,20240101,000306.06,00061.22,00061.22
08005,S,20240101,000225.35,00045.07,00045.07
08006,S,20240101,000428.04,00085.61,00085.61
08007,S,20240101,000523.24,00104.65,00104.65
08008,S,20240101,000832.31,00166.47,00166.47
08010,S,20240101,000358.21,00071.65,00071.65
08011,J2,20240101,002610.71,00522.15,00522.15
09002,K,20240101,000153.10,00030.62,00030.62
09003,K,20240101,000339.68,00067.94,00067.94
09004,G,20240101,000012.02,00002.41,00002.41
09005,K,20240101,002787.99,00557.60,00557.60
09006,K,20240101,000248.75,00049.75,00049.75
09007,K,20240101,000014.04,00002.81,00002.81
09008,G,20240101,000018.58,00003.72,00003.72
09009,G,20240101,004950.37,00990.08,00990.08
09010,G,20240101,000032.11,00006.43,00006.43
09011,K,20240101,000160.00,00032.00,00032.00
09012,K,20240101,000018.50,00003.70,00003.70
09013,G,20240101,000015.33,00003.07,00003.07
09016,K,20240101,003225.08,00645.02,00645.02
09017,G,20240101,000199.55,00039.92,00039.92
09018,K,20240101,000013.04,00002.61,00002.61
09020,K,20240101,000000.37,00000.08,00000.08
09021,K,20240101,000000.37,00000.08,00000.08
09022,K,20240101,000004.13,00000.83,00000.83
09023,K,20240101,000004.13,00000.83,00000.83
09024,K,20240101,000011.13,00002.23,00002.23
09025,K,20240101,000110.76,00022.16,00022.16
09026,K,20240101,000048.55,00009.71,00009.71
09027,K,20240101,000048.55,00009.71,00009.71
09028,K,20240101,002529.55,00505.92,00505.92
09029,K,20240101,000074.63,00014.93,00014.93
09030,K,20240101,000085.71,00017.15,00017.15
09031,K,20240101,000002.61,00000.53,00000.53
09032,K,20240101,000182.26,00036.46,00036.46
09033,K,20240101,000550.38,00110.08,00110.08
09034,K,20240101,000015.73,00003.15,00003.15
09035,K,20240101,449341.85,89868.38,89868.38
09036,K,20240101,000032.56,00006.52,00006.52
