cbsa,effectiveDate,geographicWageIndex,reclassifiedWageIndex,imputedFloorWageIndex,name
41980,20230101,0.3843,0.3843,0,San Juan-Bayam?n-Caguas PR
42020,20230101,1.2679,1.2679,0,San Luis Obispo-Paso Robles CA
42034,20230101,1.8223,1.8223,0,San Rafael CA
42100,20230101,1.7457,1.7457,0,Santa Cruz-Watsonville CA
42140,20230101,1.0137,0.9217,0,Santa Fe NM
42200,20230101,1.4518,1.4277,0,Santa Maria-Santa Barbara CA
42220,20230101,1.718,1.718,0,Santa Rosa-Petaluma CA
42340,20230101,0.8059,0.8059,0,Savannah GA
42540,20230101,0.8427,0.8427,0,Scranton--Wilkes-Barre PA
42644,20230101,1.1557,1.1418,0,Seattle-Bellevue-Kent WA
42680,20230101,0.809,0.809,0,Sebastian-Vero Beach FL
42700,20230101,0.8441,0.8441,0,Sebring-Avon Park FL
43100,20230101,0.9562,0.9107,0,Sheboygan WI
43300,20230101,0.8329,0.8329,0,Sherman-Denison TX
43340,20230101,0.8439,0.8439,0,Shreveport-Bossier City LA
43420,20230101,0.8498,0.8498,0,Sierra Vista-Douglas AZ
43580,20230101,0.8269,0.8269,0,Sioux City IA-NE-SD
43620,20230101,0.8061,0.8061,0,Sioux Falls SD
43780,20230101,0.9869,0.9287,0,South Bend-Mishawaka IN-MI
43900,20230101,0.8874,0.8731,0,Spartanburg SC
44060,20230101,1.0534,1.0266,0,Spokane-Spokane Valley WA
44100,20230101,0.8549,0.8549,0,Springfield IL
44140,20230101,0.9395,0.9395,0,Springfield MA
44180,20230101,0.7729,0.7729,0,Springfield MO
44220,20230101,0.9642,0.9642,0,Springfield OH
44300,20230101,1.0877,0.9135,0,State College PA
44420,20230101,0.9871,0.9871,0,Staunton VA
44700,20230101,1.5123,1.4561,0,Stockton CA
44940,20230101,0.7263,0.7263,0,Sumter SC
45060,20230101,0.9771,0.9464,0,Syracuse NY
45104,20230101,1.1482,1.138,0,Tacoma-Lakewood WA
45220,20230101,0.8408,0.8088,0,Tallahassee FL
45300,20230101,0.8678,0.8678,0,Tampa-St. Petersburg-Clearwater FL
45460,20230101,0.8642,0.8511,0,Terre Haute IN
45500,20230101,0.871,0.8414,0,Texarkana TX-AR
45540,20230101,0.7494,0.7494,0,The Villages FL
45780,20230101,0.8511,0.8511,0,Toledo OH
45820,20230101,0.8545,0.8545,0,Topeka KS
45940,20230101,1.0345,1.0345,0,Trenton-Princeton NJ
46060,20230101,0.8477,0.8477,0,Tucson AZ
46140,20230101,0.82,0.82,0,Tulsa OK
46220,20230101,0.7733,0.7205,0,Tuscaloosa AL
46300,20230101,0.9077,0.9077,0,Twin Falls ID
46340,20230101,0.8323,0.8323,0,Tyler TX
46520,20230101,1.325,1.325,0,Urban Honolulu HI
46540,20230101,0.8965,0.8965,0,Utica-Rome NY
46660,20230101,0.7431,0.7431,0,Valdosta GA
46700,20230101,1.8939,1.8699,0,Vallejo CA
47020,20230101,0.8399,0.8399,0,Victoria TX
47220,20230101,1.1737,1.1737,0,Vineland-Bridgeton NJ
47260,20230101,0.9009,0.9009,0,Virginia Beach-Norfolk-Newport News VA-NC
47300,20230101,0.9826,0.9826,0,Visalia CA
47380,20230101,0.915,0.915,0,Waco TX
47460,20230101,1.0453,1.0331,0,Walla Walla WA
47580,20230101,0.7699,0.7492,0,Warner Robins GA
47664,20230101,0.9107,0.9107,0,Warren-Troy-Farmington Hills MI
47894,20230101,1.031,0.9936,0,Washington-Arlington-Alexandria DC-VA-MD-WV
47940,20230101,0.8086,0.8086,0,Waterloo-Cedar Falls IA
48060,20230101,0.9494,0.9494,0,Watertown-Fort Drum NY
48140,20230101,0.8404,0.8404,0,Wausau-Weston WI
48260,20230101,0.7452,0.7452,0,Weirton-Steubenville WV-OH
